Planet Name,Host Name,Number of Stars,Number of Moons,Discovery Method,Discovery Year,Discovery Facility,Orbital Period,Orbital Period (Upper),Orbital Period (Lower),Orbital Semi- Major Axis,Earth Radius,Earth Radius (Upper),Earth Radius (Lower),Jupiter Radius,Earth Mass,Earth Mass (Upper),Earth Mass (Lower),Spectral Type,Stellar Radius,Stellar Mass,Stellar Mass (Upper),Stellar Mass (Lower),Stellar Age,Relative Distance,Relative Distance (Upper),Relative Distance (Lower),Number of Emission Spectroscopy Measurements
DH Tau b,DH Tau,1,0,Imaging,2004,Subaru Telescope,,,,330,30.264,8.967,-8.967,2.7,3496,3178,-953,M0.5,0.27,0.33,,,0.001,134.846,1.282,-1.258,0
DMPP-1 b,DMPP-1,1,0,Radial Velocity,2019,La Silla Observatory,18.57,0.01,-0.01,0.1462,5.29,,,0.472,24.27,1.16,-1.59,F8 V,1.26,1.21,0.03,-0.03,2.01,62.5388,0.1782,-0.1773,0
DMPP-1 c,DMPP-1,1,0,Radial Velocity,2019,La Silla Observatory,6.584,0.003,-0.002,0.0733,3.06,,,0.273,9.6,0.53,-1.58,F8 V,1.26,1.21,0.03,-0.03,2.01,62.5388,0.1782,-0.1773,0
DMPP-1 d,DMPP-1,1,0,Radial Velocity,2019,La Silla Observatory,2.882,0.001,-0.001,0.0422,1.65,,,0.147,3.35,0.38,-0.34,F8 V,1.26,1.21,0.03,-0.03,2.01,62.5388,0.1782,-0.1773,0
DMPP-1 e,DMPP-1,1,0,Radial Velocity,2019,La Silla Observatory,5.516,0.002,-0.004,0.0651,1.86,,,0.166,4.13,0.66,-1.14,F8 V,1.26,1.21,0.03,-0.03,2.01,62.5388,0.1782,-0.1773,0
DMPP-2 b,DMPP-2,1,0,Radial Velocity,2019,Multiple Facilities,5.2072,0.0002,-0.0055,0.0664,14.3,,,1.28,138.89171,9.5349,-18.75197,F5 V,1.78,1.44,0.03,-0.03,2,137.94,0.681,-0.675,0
DMPP-3 A b,DMPP-3 A,2,0,Radial Velocity,2019,La Silla Observatory,6.6732,0.0011,-0.0003,0.0662,1.41,,,0.126,2.58,0.35,-0.58,K0 V,0.91,0.87,0.05,-0.05,10.9,45.23,1.6,-1.72,0
DP Leo b,DP Leo,2,0,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,10220,730,-730,8.19,12.7,,,1.14,1995.88832,184.33363,-184.33363,,0.01,0.69,,,,305.684,33.554,-27.604,0
DS Tuc A b,DS Tuc A,2,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.138268,0.000011,-0.000011,,5.7,0.17,-0.17,0.509,413.179,,,G6 V,0.96,1.01,0.06,-0.06,0.045,44.0622,0.0693,-0.0691,0
EPIC 201170410.02,EPIC 201170410,1,0,Transit,2020,K2,6.7987,0.0001,-0.0001,0.0349,1.047,0.276,-0.257,0.093,1.15,,,,0.28,0.29,0.1,-0.08,,134,45.8,-39.8,0
EPIC 201238110 b,EPIC 201238110,1,0,Transit,2019,K2,28.1656,0.0027,-0.0028,,1.87,0.2,-0.45,0.167,4.16,,,,0.37,0.41,0.11,-0.05,,159.259,1.414,-1.39,0
EPIC 201497682 b,EPIC 201497682,1,0,Transit,2019,K2,2.13174,0.00022,-0.00022,,0.692,0.059,-0.048,0.062,0.26,,,,0.55,0.78,0.09,-0.17,,253.026,1.664,-1.664,0
EPIC 201615463 c,K2-166,1,0,Transit,2019,K2,3.80464,0.00091,-0.00105,,1.22,0.21,-0.17,0.109,1.98,,,,1.6,1.07,0.03,-0.03,,476.882,9.692,-9.321,0
EPIC 201754305 d,K2-16,1,0,Transit,2019,K2,2.71578,0.00031,-0.00031,,1.03,0.085,-0.086,0.092,1.08,,,K3 V,0.54,0.67,0.03,-0.04,,334.967,4.1785,-4.1785,0
EPIC 201757695.02,EPIC 201757695,1,0,Transit,2020,K2,2.0478,0.0001,-0.0001,0.0296,0.908,0.059,-0.064,0.081,0.688,,,,0.66,0.73,0.04,-0.05,,577.6,33.2,-29.8,0
EPIC 201833600 c,K2-50,1,0,Transit,2019,K2,3.96151,0.00046,-0.00051,,1,0.12,-0.11,0.089,0.972,,,,0.63,0.61,0.06,-0.06,,257.443,3.239,-3.239,0
EPIC 201841433 b,EPIC 201841433,1,0,Transit,2019,K2,4.1698,0.0001,-0.0001,0.035,1.04,0.037,-0.032,0.093,1.12,,,,0.63,0.8,0.08,-0.16,,436.488,8.178001,-7.888,0
EPIC 205950854 c,K2-168,1,0,Transit,2019,K2,8.050722,0.000075,-0.000038,,1.31,0.144,-0.063,0.117,2.27,,,,0.83,0.88,0.06,-0.03,,243.935,4.239,-4.099,0
EPIC 206024342 b,EPIC 206024342,1,0,Transit,2019,K2,4.50756,0.00062,-0.0006,,1.7,0.59,-0.31,0.152,3.53,,,,0.82,0.93,0.08,-0.1,,369.888,4.99,-4.86,0
EPIC 206032309 b,EPIC 206032309,1,0,Transit,2019,K2,2.87814,0.00023,-0.00026,,1.01,0.24,-0.13,0.09,1.01,,,,0.37,0.22,0.04,-0.06,,161.365,1.793,-1.793,0
EPIC 206042996 b,EPIC 206042996,1,0,Transit,2019,K2,5.29711,0.00074,-0.0007,,1.62,0.17,-0.19,0.145,3.26,,,,0.67,0.56,0.05,-0.05,,451.769,13.976,-13.176,0
EPIC 206215704 b,EPIC 206215704,1,0,Transit,2019,K2,2.25372,0.00047,-0.00047,,0.9,0.19,-0.2,0.08,0.666,,,,0.37,0.41,0.1,-0.08,,109.888,1.08,-1.08,0
EPIC 206317286 b,EPIC 206317286,1,0,Transit,2019,K2,1.58252,0.00017,-0.00018,,0.96,0.11,-0.15,0.086,0.84,,,,0.67,0.71,0.09,-0.03,,314.35,2.936,-2.882,0
EPIC 211822797 b,EPIC 211822797,1,0,Transit,2016,K2,21.169861,0.001725,-0.001695,0.131,1.98,0.11,-0.11,0.177,4.58,,,M0,0.57,0.66,0.07,-0.07,0.79,186.197,1.3645,-1.3645,0
EPIC 211945201 b,EPIC 211945201,1,0,Transit,2018,K2,19.49221,0.000666,-0.000653,0.1493,5.76,0.3,-0.3,0.514,27,14,-12.6,G0,1.39,1.17,0.04,-0.04,3.99,181.69,1.295,-1.277,0
EPIC 212297394 b,EPIC 212297394,1,0,Transit,2019,K2,2.28943,0.00019,-0.00019,,1.323,0.081,-0.095,0.118,2.31,,,,0.75,0.83,0.09,-0.12,,418.395,7.353,-7.107,0
EPIC 212424622 b,EPIC 212424622,1,0,Transit,2019,K2,18.0983,0.006,-0.0058,,2.17,0.67,-0.42,0.194,5.35,,,,1.22,1.11,0.14,-0.12,,611.804,10.285,-9.956,0
EPIC 212499991 b,EPIC 212499991,1,0,Transit,2019,K2,34.885,0.011,-0.01,,1.6,0.13,-0.16,0.143,3.19,,,,0.76,0.91,0.04,-0.16,,283.29,2.043,-2.015,0
EPIC 212587672 b,EPIC 212587672,1,0,Transit,2019,K2,15.2841,0.0037,-0.0029,,1.12,0.12,-0.09,0.1,1.46,,,,0.98,0.95,0.04,-0.04,,320.07,6.392,-6.152,0
EPIC 212737443 b,EPIC 212737443,1,0,Transit,2019,K2,13.603,0.0013,-0.0013,0.098,2.586,0.126,-0.126,0.231,7.2,,,K3,0.67,0.69,0.04,-0.04,,336.25,4.743,-4.615,0
EPIC 212737443 c,EPIC 212737443,1,0,Transit,2019,K2,65.55,0.0089,-0.0089,0.28,2.69,0.146,-0.146,0.24,7.7,,,K3,0.67,0.69,0.04,-0.04,,336.25,4.743,-4.615,0
EPIC 220554210 c,K2-282,1,0,Transit,2019,K2,0.70531,0.00005,-0.00005,,1.48,0.13,-0.1,0.132,2.79,,,,1.01,0.94,0.04,-0.04,,496.289,7.902,-7.663,0
EPIC 220674823 b,EPIC 220674823,1,0,Transit,2016,K2,0.571331,0.00002,-0.000021,0.0134,1.82,0.1,-0.1,0.162,7.72,0.8,-0.79,G5 V,0.98,0.97,0.04,-0.04,5,244.59,3.044,-2.972,0
EPIC 220674823 c,EPIC 220674823,1,0,Transit,2016,K2,13.339079,0.00194,-0.001859,0.1091,2.73,0.18,-0.18,0.244,5.8,3.3,-3,G5 V,0.98,0.97,0.04,-0.04,5,244.59,3.044,-2.972,0
EPIC 246851721 b,EPIC 246851721,2,0,Transit,2018,K2,6.180235,0.000014,-0.000014,0.07229,11.781,0.493,-0.493,1.051,953.49,349.613,-381.396,F5 V,1.59,1.32,0.04,-0.04,3.02,372.632,19.456,-17.644,0
EPIC 248847494 b,EPIC 248847494,1,0,Transit,2018,K2,3650,1280,-1130,4.5,12.442,0.785,-0.785,1.11,4131.79,,,,2.7,0.9,0.09,-0.09,,551.886,12.752,-12.752,0
EPIC 249893012 b,EPIC 249893012,1,0,Transit,2020,K2,3.5951,0.0003,-0.0003,0.047,1.95,0.09,-0.08,0.174,8.75,1.09,-1.08,G8 IV/V,1.71,1.05,0.05,-0.05,9,321.296,4.189,-4.085,0
EPIC 249893012 c,EPIC 249893012,1,0,Transit,2020,K2,15.624,0.001,-0.001,0.13,3.67,0.17,-0.14,0.327,14.67,1.84,-1.89,G8 IV/V,1.71,1.05,0.05,-0.05,9,321.296,4.189,-4.085,0
EPIC 249893012 d,EPIC 249893012,1,0,Transit,2020,K2,35.747,0.005,-0.005,0.22,3.94,0.13,-0.12,0.352,10.18,2.46,-2.42,G8 IV/V,1.71,1.05,0.05,-0.05,9,321.296,4.189,-4.085,0
FU Tau b,FU Tau,1,0,Imaging,2008,Spitzer Space Telescope,,,,800,12.2,,,1.09,5085.28,,,M7.25,,0.05,,,0.001,133.4950466,22.9649891,-22.9649891,0
G 264-012 b,G 264-012,1,0,Radial Velocity,2021,Calar Alto Observatory,2.30538,0.00031,-0.00031,0.02279,1.39,,,0.124,2.5,0.29,-0.3,M4.0 V,0.3,0.3,0.02,-0.02,,16.009,0.0104,-0.0103,0
G 264-012 c,G 264-012,1,0,Radial Velocity,2021,Calar Alto Observatory,8.0518,0.0034,-0.0034,0.0525,1.76,,,0.157,3.75,0.48,-0.47,M4.0 V,0.3,0.3,0.02,-0.02,,16.009,0.0104,-0.0103,0
G 9-40 b,G 9-40,1,0,Transit,2019,K2,5.746007,0.000006,-0.000006,0.0385,2.025,0.096,-0.097,0.181,4.76,,,M2.5 V,0.31,0.29,0.02,-0.02,9.9,27.9276,0.0451,-0.045,0
GJ 1061 b,GJ 1061,1,0,Radial Velocity,2020,La Silla Observatory,3.204,0.001,-0.001,0.021,1.1,,,0.098,1.37,0.16,-0.15,M5.5 V,0.16,0.12,0.01,-0.01,7,3.67278,0.00089,-0.0009,0
GJ 1061 c,GJ 1061,1,0,Radial Velocity,2020,La Silla Observatory,6.689,0.005,-0.005,0.035,1.18,,,0.105,1.74,0.23,-0.23,M5.5 V,0.16,0.12,0.01,-0.01,7,3.67278,0.00089,-0.0009,0
GJ 1061 d,GJ 1061,1,0,Radial Velocity,2020,La Silla Observatory,13.031,0.025,-0.032,0.054,1.16,,,0.103,1.64,0.24,-0.23,M5.5 V,0.16,0.12,0.01,-0.01,7,3.67278,0.00089,-0.0009,0
GJ 1132 b,GJ 1132,1,0,Transit,2015,Cerro Tololo Inter-American Observatory,1.628931,0.000027,-0.000027,0.0153,1.13,0.056,-0.056,0.101,1.66,0.23,-0.23,M4.5 V,0.21,0.18,0.02,-0.02,5,12.613,0.007,-0.007,0
GJ 1132 c,GJ 1132,1,0,Radial Velocity,2018,La Silla Observatory,8.929,0.01,-0.01,0.0476,1.43,,,0.128,2.64,0.44,-0.44,M4.5 V,0.21,0.18,0.02,-0.02,5,12.613,0.007,-0.007,0
GJ 1148 b,GJ 1148,1,0,Radial Velocity,2010,W. M. Keck Observatory,41.38,0.002,-0.001,0.166,11.9,,,1.07,96.7,1.41,-1.02,M5,0.36,0.34,0.02,-0.02,,11.0143,0.0064,-0.0065,0
GJ 1148 c,GJ 1148,1,0,Radial Velocity,2017,Calar Alto Observatory,532.58,4.14,-2.52,0.912,9.71,,,0.866,68.06,4.91,-2.19,M5,0.36,0.34,0.02,-0.02,,11.0143,0.0064,-0.0065,0
GJ 1151 b,GJ 1151,1,0,Radial Velocity,2021,Multiple Observatories,2.018,0.0005,-0.0005,0.01735,1.39,,,0.124,2.5,0.5,-0.5,M4.5,0.2,0.17,0.02,-0.02,,8.03625,0.00772,-0.00771,0
GJ 1214 b,GJ 1214,1,0,Transit,2009,MEarth Project,1.58040433,0.00000013,-0.00000013,0.0149,2.742,0.05,-0.053,0.245,8.17,0.43,-0.43,M4 V,0.21,0.18,0.01,-0.01,3,14.6427,0.0372,-0.0372,0
GJ 1252 b,GJ 1252,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0.5182349,0.0000063,-0.000005,0.00916,1.193,0.074,-0.074,0.106,2.09,0.56,-0.56,M3,0.39,0.38,0.02,-0.02,,20.373,0.0192,-0.0192,0
GJ 1265 b,GJ 1265,1,0,Radial Velocity,2018,Calar Alto Observatory,3.6511,0.0012,-0.0012,0.026,2.63,,,0.234,7.4,0.5,-0.5,M4.5 V,0.19,0.18,0.02,-0.02,,10.2525,0.0075,-0.0076,0
GJ 143 b,GJ 143,1,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),35.61253,0.0006,-0.00062,0.1915,2.61,0.17,-0.16,0.233,22.7,2.2,-1.9,K4.5,0.69,0.73,0.07,-0.07,3.8,16.32,0.0071,-0.0071,0
GJ 15 A b,GJ 15 A,2,0,Radial Velocity,2014,W. M. Keck Observatory,11.4407,0.0017,-0.0016,0.072,1.55,,,0.139,3.03,0.46,-0.44,M1,0.38,0.38,0.05,-0.05,,3.56228,0.00055,-0.00055,0
GJ 15 A c,GJ 15 A,2,0,Radial Velocity,2018,Roque de los Muchachos Observatory,7600,2200,-1700,5.4,6.67,,,0.595,36,25,-18,M1,0.38,0.38,0.05,-0.05,,3.56228,0.00055,-0.00055,0
GJ 160.2 b,GJ 160.2,1,0,Radial Velocity,2014,Multiple Observatories,5.2354,0.0027,-0.0065,0.053,3.17,,,0.283,10.2,7.2,-5.9,M0 V,0.66,0.69,,,,25.8557,0.0393,-0.0391,0
GJ 163 b,GJ 163,1,0,Radial Velocity,2013,La Silla Observatory,8.63182,0.00155,-0.00155,0.0607,3.25,,,0.29,10.6,0.6,-0.6,M,0.41,0.4,0.02,-0.02,6,15.1285,0.0072,-0.0072,0
GJ 163 c,GJ 163,1,0,Radial Velocity,2013,La Silla Observatory,25.63058,0.0255,-0.0255,0.1254,2.5,,,0.223,6.8,0.9,-0.9,M,0.41,0.4,0.02,-0.02,6,15.1285,0.0072,-0.0072,0
GJ 163 d,GJ 163,1,0,Radial Velocity,2013,La Silla Observatory,603.95116,7.55862,-7.55862,1.0304,5.92,,,0.528,29.4,2.9,-2.9,M,0.41,0.4,0.02,-0.02,6,15.1285,0.0072,-0.0072,0
GJ 179 b,GJ 179,1,0,Radial Velocity,2009,W. M. Keck Observatory,2288,59,-59,2.41,13.9,,,1.24,260.61,22.25,-22.25,M3.5 V,0.38,0.36,0.03,-0.03,,12.356,0.0093,-0.0093,0
GJ 180 b,GJ 180,1,0,Radial Velocity,2014,Multiple Observatories,17.133,0.003,-0.003,0.092,2.43,,,0.217,6.49,0.68,-0.68,M2 V,0.41,0.43,,,,11.9407,0.0045,-0.0045,0
GJ 180 c,GJ 180,1,0,Radial Velocity,2014,Multiple Observatories,24.329,0.052,-0.066,0.129,2.41,,,0.215,6.4,3.7,-4.1,M2 V,0.41,0.43,,,,11.9407,0.0045,-0.0045,0
GJ 180 d,GJ 180,1,0,Radial Velocity,2020,Multiple Facilities,106.3,0.129,-0.129,0.309,2.66,,,0.237,7.56,1.07,-1.07,M3,0.41,0.43,,,,11.9407,0.0045,-0.0045,0
GJ 2056 b,GJ 2056,1,0,Radial Velocity,2020,Multiple Observatories,69.971,0.061,-0.061,0.283,4.17,,,0.372,16.2,3.6,-3.6,M0V:,0.71,0.62,0.08,-0.08,,28.4434,0.0234,-0.0233,0
GJ 229 A c,GJ 229,2,0,Radial Velocity,2020,Multiple Facilities,121.995,0.161,-0.161,0.339,2.6,,,0.232,7.268,1.256,-1.256,M1.5V,0.46,0.58,,,0.4,5.75624,0.001525,-0.001525,0
GJ 229 b,GJ 229,2,0,Radial Velocity,2014,Multiple Observatories,526.115,4.3,-4.3,0.898,2.85,,,0.254,8.478,2.033,-2.033,M1/M2 V,0.46,0.58,,,0.4,5.75624,0.001525,-0.001525,0
GJ 251 b,GJ 251,1,0,Radial Velocity,2020,W. M. Keck Observatory,14.238,0.002,-0.002,0.0818,1.83,,,0.163,4,0.4,-0.4,M3.0 V,0.36,0.36,0.01,-0.01,,5.58057,0.00198,-0.00198,0
GJ 27.1 b,GJ 27.1,1,0,Radial Velocity,2014,Multiple Observatories,15.819,0.023,-0.026,0.101,3.66,,,0.327,13,4.1,-6.6,M0.5 V,0.52,0.53,,,,23.6062,0.02565,-0.02565,0
GJ 273 b,GJ 273,1,0,Radial Velocity,2017,La Silla Observatory,18.6498,0.0059,-0.0052,0.091101,1.51,,,0.135,2.89,0.27,-0.26,M3.5,0.29,0.29,,,,5.921535,0.0206332,-0.0206332,0
GJ 273 c,GJ 273,1,0,Radial Velocity,2017,La Silla Observatory,4.7234,0.0004,-0.0004,0.036467,1.06,,,0.094,1.18,0.16,-0.16,M3.5,0.29,0.29,,,,5.921535,0.0206332,-0.0206332,0
GJ 3021 b,GJ 3021,2,0,Radial Velocity,2000,La Silla Observatory,133.71,0.2,-0.2,0.49,13.1,,,1.17,1071.04,28.6,-28.6,G6 V,0.9,0.9,,,0.37,17.5559,0.0073,-0.0073,0
GJ 3082 b,GJ 3082,1,0,Radial Velocity,2020,Multiple Facilities,11.949,0.022,-0.022,0.079,2.79,,,0.249,8.2,1.7,-1.7,M4,0.47,0.47,,,,16.6186,0.00745,-0.00745,0
GJ 3138 b,GJ 3138,1,0,Radial Velocity,2017,La Silla Observatory,1.22003,0.00006,-0.00004,0.0197,1.18,,,0.106,1.78,0.34,-0.33,M0,0.5,0.68,,,,28.4712,0.03505,-0.03505,0
GJ 3138 c,GJ 3138,1,0,Radial Velocity,2017,La Silla Observatory,5.974,0.001,-0.001,0.057,1.88,,,0.167,4.18,0.61,-0.59,M0,0.5,0.68,,,,28.4712,0.03505,-0.03505,0
GJ 3138 d,GJ 3138,1,0,Radial Velocity,2017,La Silla Observatory,257.8,3.6,-3.5,0.698,3.23,,,0.288,10.5,2.3,-2.1,M0,0.5,0.68,,,,28.4712,0.03505,-0.03505,0
GJ 317 b,GJ 317,1,0,Radial Velocity,2007,W. M. Keck Observatory,695.66,0.355,-0.355,1.151,13.3,,,1.18,794.5,222.5,-127.1,M2.5 V,0.43,0.42,0.02,-0.02,5,15.1968,0.013,-0.0129,0
GJ 317 c,GJ 317,1,0,Radial Velocity,2018,W. M. Keck Observatory,6739.323,143.106,-143.106,5.23,13.5,,,1.2,522.5,19.1,-19.1,M2.5 V,0.43,0.42,0.02,-0.02,5,15.1968,0.013,-0.0129,0
GJ 328 b,GJ 328,1,0,Radial Velocity,2013,McDonald Observatory,4100,300,-300,4.5,13.3,,,1.19,731,41.32,-41.32,M1,0.65,0.69,0.05,-0.05,,20.5266,0.01685,-0.01685,0
GJ 3293 b,GJ 3293,1,0,Radial Velocity,2015,La Silla Observatory,30.5987,0.0083,-0.0084,0.14339,5.19,,,0.463,23.54,0.88,-0.89,M2.5,0.4,0.42,,,,20.1903,0.0216,-0.0216,0
GJ 3293 c,GJ 3293,1,0,Radial Velocity,2015,La Silla Observatory,122.6196,0.2429,-0.2371,0.36175,4.87,,,0.434,21.09,1.24,-1.26,M2.5,0.4,0.42,,,,20.1903,0.0216,-0.0216,0
GJ 3293 d,GJ 3293,1,0,Radial Velocity,2017,La Silla Observatory,48.1345,0.0628,-0.0661,0.19394,2.67,,,0.238,7.6,1.05,-1.05,M2.5,0.4,0.42,,,,20.1903,0.0216,-0.0216,0
GJ 3293 e,GJ 3293,1,0,Radial Velocity,2017,La Silla Observatory,13.2543,0.0078,-0.0104,0.08208,1.63,,,0.145,3.28,0.64,-0.64,M2.5,0.4,0.42,,,,20.1903,0.0216,-0.0216,0
GJ 3323 b,GJ 3323,1,0,Radial Velocity,2017,La Silla Observatory,5.3636,0.0007,-0.0007,0.03282,1.23,,,0.109,2.02,0.26,-0.25,M4,0.12,0.16,,,,5.37484,0.00172,-0.00172,0
GJ 3323 c,GJ 3323,1,0,Radial Velocity,2017,La Silla Observatory,40.54,0.21,-0.19,0.1264,1.32,,,0.118,2.31,0.5,-0.49,M4,0.12,0.16,,,,5.37484,0.00172,-0.00172,0
GJ 3341 b,GJ 3341,1,0,Radial Velocity,2015,La Silla Observatory,14.207,0.007,-0.007,0.089,2.46,,,0.219,6.6,0.1,-0.1,M2.5,0.44,0.47,,,,23.619,0.0291,-0.029,0
GJ 338 B b,GJ 338 B,2,0,Radial Velocity,2020,Calar Alto Observatory,24.45,0.02,-0.02,0.141,3.19,,,0.284,10.27,1.47,-1.38,M0.0 V,0.58,0.64,0.07,-0.07,4,6.33256,0.00167,-0.00168,0
GJ 3470 b,GJ 3470,1,0,Radial Velocity,2012,La Silla Observatory,3.3366496,0.0000039,-0.0000033,0.0355,4.57,0.18,-0.18,0.408,13.9,1.5,-1.5,M1.5,0.55,0.54,0.05,-0.04,1.65,29.4214,0.0508,-0.0507,2
GJ 3473 b,GJ 3473,2,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),1.1980035,0.0000018,-0.0000019,0.01589,1.264,0.05,-0.049,0.113,1.86,0.3,-0.3,M4,0.36,0.36,0.02,-0.02,,27.3644,0.0376,-0.0376,0
GJ 3473 c,GJ 3473,2,0,Radial Velocity,2020,Multiple Observatories,15.509,0.033,-0.033,0.0876,2.63,,,0.235,7.41,0.91,-0.86,M4,0.36,0.36,0.02,-0.02,,27.3644,0.0376,-0.0376,0
GJ 3512 b,GJ 3512,1,0,Radial Velocity,2019,Calar Alto Observatory,203.59,0.14,-0.14,0.338,14.3,,,1.27,147.15529,6.99226,-7.31009,M5.5 V,0.14,0.12,0.01,-0.01,5.5,9.48637,0.00857,-0.00856,0
GJ 357 b,GJ 357,1,0,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),3.93072,0.00008,-0.00006,0.035,1.217,0.084,-0.083,0.109,1.84,0.31,-0.31,M2.5 V,0.34,0.34,0.01,-0.01,,9.44181,0.00511,-0.00511,0
GJ 357 c,GJ 357,1,0,Radial Velocity,2019,Multiple Observatories,9.1247,0.0011,-0.001,0.061,1.66,,,0.148,3.4,0.46,-0.46,M2.5 V,0.34,0.34,0.01,-0.01,,9.44181,0.00511,-0.00511,0
GJ 357 d,GJ 357,1,0,Radial Velocity,2019,Multiple Observatories,55.661,0.055,-0.055,0.204,2.34,,,0.209,6.1,1,-1,M2.5 V,0.34,0.34,0.01,-0.01,,9.44181,0.00511,-0.00511,0
GJ 3634 b,GJ 3634,1,0,Radial Velocity,2010,La Silla Observatory,2.64561,0.00066,-0.00066,0.0287,2.83,,,0.253,8.4,4,-1.5,M2.5,0.43,0.45,0.05,-0.05,5,20.3779,0.03165,-0.03165,0
GJ 3779 b,GJ 3779,1,0,Radial Velocity,2018,Calar Alto Observatory,3.0232,0.0013,-0.0013,0.026,2.75,,,0.245,8,0.5,-0.5,M4.0 V,0.28,0.27,0.02,-0.02,,13.743,0.0117,-0.0116,0
GJ 393 b,GJ 393,1,0,Radial Velocity,2021,Multiple Observatories,7.02679,0.00082,-0.00085,0.05402,1.17,,,0.104,1.71,0.24,-0.24,M2.0 V,0.43,0.43,0.02,-0.02,,7.03149,0.002485,-0.002485,0
GJ 3942 b,GJ 3942,1,0,Radial Velocity,2017,Roque de los Muchachos Observatory,6.905,0.04,-0.04,0.0608,2.57,,,0.229,7.14,0.59,-0.59,M0,0.61,0.63,0.07,-0.07,,16.9287,0.00635,-0.00635,0
GJ 3998 b,GJ 3998,1,0,Radial Velocity,2016,Roque de los Muchachos Observatory,2.64977,0.00081,-0.00077,0.029,1.38,,,0.123,2.47,0.27,-0.27,M1,0.49,0.5,0.05,-0.05,,18.1459,0.0165,-0.0165,0
GJ 3998 c,GJ 3998,1,0,Radial Velocity,2016,Roque de los Muchachos Observatory,13.74,0.016,-0.016,0.089,2.38,,,0.212,6.26,0.79,-0.76,M1,0.49,0.5,0.05,-0.05,,18.1459,0.0165,-0.0165,0
GJ 411 b,GJ 411,1,0,Radial Velocity,2019,Haute-Provence Observatory,12.946,0.005,-0.005,0.0789,1.45,,,0.129,2.69,0.25,-0.25,M1.5 V,0.39,0.39,0.01,-0.01,,5.675773,0.0059099,-0.0059099,0
GJ 414 A b,GJ 414 A,2,0,Radial Velocity,2021,W. M. Keck Observatory,50.8,0.1,-0.26,0.2324,2.63,1.22,-0.85,0.235,7.6,2.44,-2.19,K7 V,0.68,0.65,0.08,-0.08,12.4,11.8893,0.0067,-0.0067,0
GJ 414 A c,GJ 414 A,2,0,Radial Velocity,2021,W. M. Keck Observatory,749.83,4.35,-3.63,1.4,8.4,3.6,-2.5,0.749,53.83,9.18,-8.58,K7 V,0.68,0.65,0.08,-0.08,12.4,11.8893,0.0067,-0.0067,0
GJ 422 b,GJ 422,1,0,Radial Velocity,2014,Multiple Observatories,20.129,0.005,-0.005,0.111,3.33,,,0.297,11.07,1.12,-1.12,M3.5 V,0.37,0.35,,,,12.6631,0.0072,-0.0073,0
GJ 4276 b,GJ 4276,1,0,Radial Velocity,2019,Calar Alto Observatory,13.352,0.003,-0.003,0.082,4.22,,,0.377,16.57,0.94,-0.95,M4.0,0.41,0.41,0.03,-0.03,6.9,21.3362,0.0172,-0.0172,0
GJ 433 b,GJ 433,1,0,Radial Velocity,2011,La Silla Observatory,7.3705,0.0005,-0.0005,0.062,2.33,,,0.208,6.043,0.597,-0.597,M1.5 V,0.5,0.48,,,,9.06456,0.00367,-0.00367,0
GJ 433 c,GJ 433,1,0,Radial Velocity,2014,Multiple Observatories,5094.105,608.617,-608.617,4.819,6.27,,,0.56,32.422,6.329,-6.329,M1.5 V,0.47,0.48,,,,9.06456,0.00367,-0.00367,0
GJ 433 d,GJ 433,1,0,Radial Velocity,2020,Multiple Facilities,36.059,0.016,-0.016,0.178,2.14,,,0.191,5.223,0.921,-0.921,M2V,0.47,0.48,,,,9.06456,0.00367,-0.00367,0
GJ 436 b,GJ 436,1,0,Radial Velocity,2004,W. M. Keck Observatory,2.64388312,0.00000057,-0.00000057,0.0291,4.17,0.168,-0.168,0.372,22.1,2.3,-2.3,M2.5 V,0.46,0.47,0.07,-0.07,6,9.75321,0.00898,-0.00896,6
GJ 480 b,GJ 480,1,0,Radial Velocity,2020,Multiple Observatories,9.567,0.005,-0.005,0.068,3.69,,,0.33,13.2,1.7,-1.7,M3.5 Ve,0.46,0.45,0.02,-0.02,,14.2358,0.01515,-0.01515,0
GJ 486 b,GJ 486,1,0,Radial Velocity,2021,Calar Alto Observatory,1.467119,0.000031,-0.00003,0.01734,1.305,0.063,-0.067,0.116,2.82,0.11,-0.12,M3.5 V,0.33,0.32,0.01,-0.01,,8.07426,0.004095,-0.004095,0
GJ 504 b,GJ 504,1,0,Imaging,2013,Subaru Telescope,,,,43.5,13,,,1.16,1271.3,1430.2,-317.8,G0 V,1.26,1.22,0.08,-0.08,0.16,17.5299,0.0785,-0.0778,0
GJ 536 b,GJ 536,1,0,Radial Velocity,2016,La Silla Observatory,8.7076,0.0022,-0.0025,0.06661,2.17,,,0.194,5.36,0.69,-0.62,M1 V,0.5,0.52,0.05,-0.05,0.4,10.4092,0.00955,-0.00955,0
GJ 581 b,GJ 581,1,0,Radial Velocity,2005,La Silla Observatory,5.3686,0.0001,-0.0001,0.04061,4.11,,,0.366,15.8,0.3,-0.3,M3 V,0.33,0.31,0.02,-0.02,4.3,6.2981,0.002095,-0.002095,0
