Planet Name,Host Name,Number of Stars,Number of Moons,Discovery Method,Discovery Year,Discovery Facility,Orbital Period,Orbital Period (Upper),Orbital Period (Lower),Orbital Semi- Major Axis,Earth Radius,Earth Radius (Upper),Earth Radius (Lower),Jupiter Radius,Earth Mass,Earth Mass (Upper),Earth Mass (Lower),Spectral Type,Stellar Radius,Stellar Mass,Stellar Mass (Upper),Stellar Mass (Lower),Stellar Age,Relative Distance,Relative Distance (Upper),Relative Distance (Lower),Number of Emission Spectroscopy Measurements
WASP-34 b,WASP-34,1,0,Transit,2010,SuperWASP,4.31768,0.000005,-0.000005,0.0524,11.209,0.897,-0.897,1,177.9848,54.0311,-54.0311,,0.91,0.96,0.45,-0.45,7.8,132.096,0.857,-0.846,0
WASP-35 b,WASP-35,1,0,Transit,2011,SuperWASP,3.16158,0.000002,-0.000002,0.04317,14.572,0.785,-0.785,1.3,225.6593,31.783,-31.783,,1.08,1.05,0.19,-0.19,5,202.218,1.698,-1.669,0
WASP-36 b,WASP-36,2,0,Transit,2011,SuperWASP,1.53736596,0.00000024,-0.00000024,0.02677,14.874,0.235,-0.235,1.327,750.39663,22.2481,-22.2481,,0.98,1.08,0.03,-0.03,1.4,386.346,5.261,-5.123,1
WASP-37 b,WASP-37,1,0,Transit,2010,SuperWASP,3.577469,0.000011,-0.000011,0.0446,13.002,0.785,-0.673,1.16,572.07,54.029,-54.029,,1,0.93,0.12,,11,392.791,7.822,-7.526,0
WASP-38 b,WASP-38,1,0,Transit,2010,SuperWASP,6.87188,0.00001,-0.00001,0.07522,13.787,0.673,-0.673,1.23,1093.3352,114.4188,-114.4188,F8 V,1.52,1.76,0.28,-0.28,3.29,136.24,0.807,-0.798,0
WASP-39 b,WASP-39,1,0,Transit,2011,SuperWASP,4.055259,0.000009,-0.000009,0.0486,14.235,0.448,-0.448,1.27,88.989,9.535,-9.535,,0.9,0.93,0.03,,9,213.982,1.76,-1.731,2
WASP-4 b,WASP-4,1,0,Transit,2007,SuperWASP,1.33823147,0.00000002,-0.00000002,0.0226,14.807,0.437,-0.437,1.321,376.94638,28.6047,-31.14734,G8,0.89,0.86,0.08,-0.09,7,267.206,3.771,-3.67,4
WASP-41 b,WASP-41,1,0,Transit,2012,SuperWASP,3.0524,0.000001,-0.000001,0.04022,12.33,0.56,-0.56,1.1,270.1555,34.9613,-34.9613,,0.83,0.81,0.15,-0.15,1.2,163.371,1.067,-1.052,0
WASP-41 c,WASP-41,1,0,Radial Velocity,2015,La Silla Observatory,421,2,-2,1.07,13.1,,,1.17,1010.6994,63.566,-63.566,,0.87,0.93,0.07,-0.07,1.2,163.371,1.067,-1.052,0
WASP-42 b,WASP-42,1,0,Transit,2012,SuperWASP,4.9816819,0.0000011,-0.0000011,0.0561,12.576,0.437,-0.437,1.122,167.49641,8.89924,-8.89924,,0.89,0.95,0.06,-0.06,4.4,177.291,1.32,-1.301,0
WASP-43 b,WASP-43,1,0,Transit,2011,SuperWASP,0.813475,0.000001,-0.000001,0.0142,10.424,0.785,-1.009,0.93,565.714,31.782,-31.782,K7 V,0.6,0.58,0.05,,7,86.7467,0.3281,-0.3257,23
WASP-44 b,WASP-44,1,0,Transit,2011,SuperWASP,2.423804,0.000008,-0.000008,0.03453,12.33,0.908,-0.852,1.1,276.5121,20.02329,-19.70546,G8 V,0.91,0.94,0.05,-0.05,10.3,364.512,5.656,-5.49,0
WASP-45 b,WASP-45,2,0,Transit,2011,SuperWASP,3.126089,0.000003,-0.000003,0.03963,10.604,0.65,-0.572,0.946,306.38812,18.43414,-17.79848,K2 V,0.85,0.85,0.08,-0.07,12.7,211.196,1.766,-1.737,0
WASP-46 b,WASP-46,1,0,Transit,2011,SuperWASP,1.43036763,0.00000093,-0.00000093,0.02335,13.159,0.415,-0.415,1.174,607.0553,41.3179,-41.3179,G6 V,0.86,0.83,0.08,-0.08,9.6,375.31,4.462,-4.36,1
WASP-47 b,WASP-47,1,0,Transit,2012,SuperWASP,4.1591289,0.0000042,-0.0000042,0.052,12.63,0.15,-0.15,1.127,363.1,7.3,-7.3,,1.14,1.04,0.03,-0.03,6.5,264.78,4.888,-4.716,0
WASP-47 c,WASP-47,1,0,Radial Velocity,2015,La Silla Observatory,588.5,2.4,-2.4,1.393,13.5,,,1.21,500,320,-190,,1.14,1.04,0.03,-0.03,6.5,264.78,4.888,-4.716,0
WASP-47 d,WASP-47,1,0,Transit,2015,K2,9.03077,0.00017,-0.00017,0.085,3.576,0.046,-0.046,0.319,13.1,1.5,-1.5,,1.14,1.04,0.03,-0.03,6.5,264.78,4.888,-4.716,0
WASP-47 e,WASP-47,1,0,Transit,2015,K2,0.789592,0.000012,-0.000012,0.01673,1.81,0.027,-0.027,0.161,6.83,0.66,-0.66,,1.14,1.04,0.03,-0.03,6.5,264.78,4.888,-4.716,0
WASP-48 b,WASP-48,1,0,Transit,2011,SuperWASP,2.14363,0.000003,-0.000003,0.03444,16.814,2.242,-2.242,1.5,254.264,73.1009,-73.1009,,1.58,0.88,0.36,-0.36,7.9,454.144,4.465,-4.381,0
WASP-49 b,WASP-49,2,0,Transit,2012,SuperWASP,2.78174,0.000006,-0.000006,0.0379,12.442,1.233,-1.233,1.11,117.5971,25.4264,-25.4264,G6 V,0.97,0.92,0.3,-0.3,11.9,194.553,1.203,-1.189,0
WASP-5 b,WASP-5,1,0,Transit,2008,SuperWASP,1.6284279,0.0000022,-0.0000049,0.0267,12.184,0.762,-0.796,1.087,502.15,41.32,-31.78,G5,1.03,0.96,0.13,-0.09,5.4,309.137,3.414,-3.341,5
WASP-50 b,WASP-50,1,0,Transit,2011,SuperWASP,1.9551,0.000005,-0.000005,0.0293,13.07,0.482,-0.482,1.166,466.8287,29.24036,-29.24036,,0.84,0.89,0.08,-0.07,7,184.848,1.879,-1.841,0
WASP-52 b,WASP-52,1,0,Transit,2012,SuperWASP,1.7497798,0.0000012,-0.0000012,0.0272,14.24,0.34,-0.34,1.27,146.2,6.36,-6.36,K2 V,0.79,0.87,0.03,-0.03,0.4,174.818,1.343,-1.323,0
WASP-53 b,WASP-53,1,0,Transit,2017,Multiple Facilities,3.3098443,0.000002,-0.000002,0.04101,12.038,0.415,-0.415,1.074,677.61356,29.24036,-29.87602,,0.8,0.84,0.05,-0.05,,201.338,1.38,-1.362,0
WASP-53 c,WASP-53,1,0,Radial Velocity,2017,Multiple Facilities,2840,170,-130,3.73,,,,,5196.5205,270.1555,-260.6206,,0.8,0.84,0.05,-0.05,,201.338,1.38,-1.362,0
WASP-54 b,WASP-54,2,0,Transit,2012,SuperWASP,3.69364,0.000006,-0.000006,0.04988,17.71,1.906,-1.906,1.58,187.5197,44.4962,-44.4962,F9,1.76,1.08,0.38,-0.38,6.9,251.303,4.478,-4.327,0
WASP-55 b,WASP-55,2,0,Transit,2012,SuperWASP,4.46563,0.000004,-0.000004,0.0558,14.908,1.457,-1.457,1.33,193.8763,41.3179,-41.3179,,1.09,1.11,0.35,-0.35,1.1,297.462,3.959,-3.858,0
WASP-56 b,WASP-56,2,0,Transit,2012,SuperWASP,4.6171,0.000003,-0.000003,0.05614,10.536,1.009,-1.009,0.94,143.0235,28.6047,-28.6047,G6,0.96,0.71,0.21,-0.21,6.2,321.084,5.4,-5.228,0
WASP-57 b,WASP-57,1,0,Transit,2012,SuperWASP,2.83891856,0.00000081,-0.00000081,0.03769,11.769,0.594,-0.594,1.05,204.68252,19.70546,-19.70546,G6,0.93,0.89,0.07,-0.07,2.6,398.276,5.82,-5.657,0
WASP-58 b,WASP-58,2,0,Transit,2012,SuperWASP,5.01718,0.000011,-0.000011,0.0562,16.029,1.569,-1.569,1.43,308.2951,88.9924,-88.9924,G2 V,1.22,1.06,0.47,-0.47,12.8,290.404,1.83,-1.808,0
WASP-59 b,WASP-59,1,0,Transit,2012,SuperWASP,7.919585,0.00001,-0.00001,0.0697,8.687,0.762,-0.762,0.775,274.276,14.302,-14.302,K5 V,0.61,0.72,0.04,-0.04,0.5,115.936,0.574,-0.568,0
WASP-6 b,WASP-6,1,0,Transit,2009,SuperWASP,3.36101,0.0000028,-0.0000028,0.04217,11.545,1.121,-1.121,1.03,117.5971,25.4264,-25.4264,,0.73,0.55,0.17,-0.17,11,197.119,1.632,-1.607,2
WASP-60 b,WASP-60,1,0,Transit,2012,SuperWASP,4.305,0.000006,-0.000006,0.05548,9.864,1.345,-1.345,0.88,174.8065,60.3877,-60.3877,G1 V,1.17,1.19,0.61,-0.61,1.7,431.052,7.554,-7.303,0
WASP-61 b,WASP-61,1,0,Transit,2012,SuperWASP,3.8559,0.000003,-0.000003,0.0521,15.805,2.466,-2.466,1.41,851.7844,266.9772,-266.9772,,1.55,1.82,0.85,-0.85,2.7,488.66,5.558,-5.436,0
WASP-62 b,WASP-62,1,0,Transit,2012,SuperWASP,4.41195,0.000003,-0.000003,0.0571,14.796,0.897,-0.897,1.32,165.2716,25.4264,-25.4264,,1.23,1.11,0.25,-0.25,2.6,175.631,0.59,-0.586,0
WASP-63 b,WASP-63,1,0,Transit,2012,SuperWASP,4.37808,0.000006,-0.000006,0.0574,15.805,1.569,-1.569,1.41,117.5971,28.6047,-28.6047,,1.86,1.28,0.42,-0.42,8.3,290.684,2.034,-2.008,0
WASP-64 b,WASP-64,2,0,Transit,2012,SuperWASP,1.5732918,0.0000015,-0.0000015,0.02648,14.247,0.437,-0.437,1.271,403.945,21.612,-21.612,G7,1.06,1,0.03,-0.03,1.2,369.926,3.026,-2.979,0
WASP-65 b,WASP-65,1,0,Transit,2013,SuperWASP,2.3114243,0.0000015,-0.0000015,0.0334,12.464,0.661,-0.661,1.112,492.62,50.85,-50.85,G6,1.01,0.93,0.14,-0.14,8,273.703,2.733,-2.68,0
